Kategori,Judul,Tanggal,Link,Konten
Pemilu,"Aprindo: Pesta Demokrasi Dorong Pertumbuhan Ekonomi 5,2% di Kuartal IV-2024",7 jam yang lalu,https://www.beritasatu.com/ekonomi/2784459/aprindo-pesta-demokrasi-dorong-pertumbuhan-ekonomi-52-di-kuartal-iv-2024,"Jakarta, Beritasatu.com - Ketua Umum Asosiasi Pengusaha Ritel Indonesia (Aprindo) Roy Nicholas Mandey mengatakan pesta demokrasi berpotensi mendorong pertumbuhan ekonomi hingga 5,2% di kuartal IV-2024.
“Adanya pesta demokrasi ini bisa membuat kita berupaya menggenjot di kuartal IV, dalam satu tahun ini di angka 5 hingga 5,2%,” Roy kepada Beritasatu.com, Jumat (1/11/2023).
BACA JUGAAprindo: Aksi Boikot Produk Israel Bikin Omzet Ritel Turun hingga 20 Persen
Roy melanjutkan, adanya pesta demokrasi ini mendorong masyarakat untuk mendukung pilihan calon presiden (capres) dan calon wakil presiden (cawapres) di Pemilu 2024. 

ADVERTISEMENT










“Ketika pesta demokrasi ada pembelian kebutuhan pokok dan sehari-hari untuk para pendukungnya, baik oleh kelompok, partai, atau pun juga perorangan. Sekarang kan kita sudah masuk ke pembelian langsung,” ucapnya.
BACA JUGAAprindo Akui Ritel Sepi Gara-gara E-Commerce
Momen Natal dan Tahun Baru 2024 juga menjadi penyumbang pertumbuhan ekonomi di kuartal IV-2024. Sebab, masyarakat biasanya akan mempersiapkan makanan dan minuman secara ekstra untuk merayakan momen tersebut.
“Saat Nataru pasti ada ekstra pembelian atau ekstra pembelanjaan konsumen, baik masyarakat yang merayakan maupun berlibur. Kalau mereka berlibur mereka harus berbelanja lebih. Sementara kalau yang merayakan pasti saat bersilaturahmi membutuhkan makanan,” tutupnya.

# Aprindo# Pertumbuhan Ekonomi# Ekonomi Indonesia"
Pemilu,Ratusan Kotak Suara Pemilu di Jember Ditemukan Rusak,10 jam yang lalu,https://www.beritasatu.com/nusantara/2784421/ratusan-kotak-suara-pemilu-di-jember-ditemukan-rusak,"Jember, Beritasatu.com - Komisi Pemilihan Umum (KPU) Kabupaten Jember menemukan 243 kotak suara mengalami kerusakan saat melakukan sortir di gudang penyimpanan logistik.
Kebutuhan kotak suara pemilu 2024 berupa kotak suara sebanyak 38.259 unit telah sepenuhnya diterima komisi pemilihan umum (KPU) Kabupaten Jember.
Komisioner KPU Jember Dessy Anggraeni mengungkapkan, petugas KPU Jember menemukan 243 kotak suara yang mengalami kerusakan saat melakukan pengecekan dan sortir. Selain rusak, terdapat kekurangan 10 unit bilik suara yang sudah tercatat.
BACA JUGATiba di Kebumen, Kotak Suara Masih Kurang 21.000 

ADVERTISEMENT










“Yang sudah kami terima sudah 38.592, dengan keterangan rusak 243. Kemudian bilik suara kebutuhan Kabupaten Jember itu 30.824 yang sudah kita terima 30.814, masih ada 10 lagi kekurangannya,” ungkapnya, Jumat (1/12/2023) sore.
Lebih lanjut Dessy mengungkapkan, dari total logistik yang telah mengalami kerusakan itu telah dilaporkan ke KPU Jatim agar segera dapat diganti dengan kotak suara yang baru.
“Tentunya nanti akan melengkapi sesuai kebutuhan yang rusak atau ditarik, diganti dengan yang lebih baik,” imbuhnya.
BACA JUGAKPU Kabupaten Tangerang Temukan Puluhan Kotak Suara Rusak
Ratusan kotak suara yang rusak tersebut telah dinyatakan tidak layak pakai karena robek dan beberapa unit tidak utuh. Mengingat bahannya dari kertas karton, kemungkinan rusak saat proses pengiriman sehingga harus diganti untuk menghindari permasalahan di kemudian hari.
“Rusaknya ya ada yang sobek, ada yang nekuk, intinya tidak sempurna,” tandas Dessy.
Selain telah menerima kotak dan bilik suara, KPU Jember juga telah menerima sejumlah logistik lainnya yakni 15.412 tinta, 740.370 segel, 200.356 segel plastik, 285.122 tanda pengenal, 77.060 stiker label identitas, serta bantalan dan alat coblos sebanyak 30.936 unit.

# Kotak Suara# Kotak Suara Rusak# KPU Jember# Kotak Suara 2019# Pemilu 2024# Kotak Suara Pemilu 2024"
Pemilu,11.000 Personel Polairud Amankan Pemilu 2024,10 jam yang lalu,https://www.beritasatu.com/bersatu-kawal-pemilu/2784416/11000-personel-polairud-amankan-pemilu-2024,"Jakarta, Beritasatu.com - Kepala Badan Pemeliharaan dan Keamanan (Kabaharkam) Polri Komjen Pol Muhammad Fadil Imran mengatakan akan ada 11.000 personel Polairud yang mengamankan jalannya Pemilu 2024. Mereka terbagi dalam operasi pusat dan operasi daerah.
“Secara pasti jumlah personel yang dilibatkan karena di Satgas Polri ini, operasi ini ada dua, ada operasi pusat dan operasi daerah. Untuk jumlah personel yang dilibatkan di Mabes Polri saja itu sekitar 11.000,” kata Fadil kepada awak media, di Mako Dit Pol Udara Korpolairud Baharkam Polri, Pondok Cabe, Tangerang Selatan, pada Jumat (1/12/2023).
BACA JUGAAnggaran Pengamanan Pemilu 2024 Tembus Rp 2 Triliun
Fadil mengatakan pengamanan di daerah nantinya akan diserahkan kepada Polair di bawah para kapolda. Sementara untuk peralatan, Fadil menyebut pihaknya akan mengerahkan semua kapal patroli jenis C2 sampai dengan tipe A3 sebanyak enam unit.
“Untuk di Jakarta, ini kita standby-kan ada enam pesawat helikopter dan di daerah di polda-polda ada 15 helikopter sudah kita BKO-kan,” kata Fadil.
Dengan demikian,Fadil berharap agar pelaksanaan keamanan dan ketertiban masyarakat mendekati pemilu dapat terlaksana dengan baik.

# Polairud# Personel Polairud# Pemilu 2024# Polairud Amankan Pemilu# Pengamanan Pemilu 2024"
Pemilu,Kenali Perbedaan Alat Peraga Kampanye dan Sosialisasi,12 jam yang lalu,https://www.beritasatu.com/bersatu-kawal-pemilu/2784391/kenali-perbedaan-alat-peraga-kampanye-dan-sosialisasi,"Jakarta, Beritasatu.com – Saat ini Pemilihan Umum (Pemilu) 2024 sudah memasuki masa kampanye. Pihak yang mencalonkan di Pemilu 2024 gencar melakukan gerakan kampanye, baik itu anggota legislatif sampai calon presiden dan wakil presiden.
Untuk mengantisipasi timbulnya pelanggaran kampanye, Badan Pengawas Pemilihan Umum (Bawaslu) membedakan alat peraga sosialisasi (APS) dari alat peraga kampanye (APK) untuk mencegah pelanggaran kampanye menjelang pemilu.
Sebelum memasuki masa kampanye, ada tahapan yang harus dilalui para pencalon pada Pemilu 2024, yaitu tahapan sosialisasi.
BACA JUGAPolda Metro Jaya Gelar Patroli Skala Besar Selama Kampanye Pemilu 2024
Berikut perbedaan alat peraga kampanye (APK) dan alat peraga sosialisasi (APS).
Alat Peraga Kampanye (APK)Peraturan Komisi Pemilihan Umum (KPU) Nomor 23 Tahun 2018 tentang Kampanye Pemilihan Umum menjelaskan apa yang dimaksud dengan alat peraga kampanye.
Menurut aturan tersebut, alat peraga kampanye adalah benda atau bentuk lain yang mengandung visi, misi, program, informasi lainnya dari peserta pemilu, serta simbol atau tanda gambar peserta pemilu. Alat peraga kampanye harus dipasang selama masa kampanye dengan tujuan mendorong pemilih untuk memilih kandidat tertentu.
Lalu dalam Pasal 32 ayat (2) Peraturan KPU Nomor 23 Tahun 2018 menyebutkan jenis alat peraga kampanye meliputi baliho, spanduk, billboard atau videotron dan umbul-umbul.
BACA JUGAPengamat: Pemilih Muda Masih Moody, Belum Tentukan Pilihan di Pemilu 2024
Alat Peraga Sosialisasi (APS)Alat peraga sosialisasi (APS) pemilu adalah alat yang digunakan untuk pendidikan pemilih. APS membantu pemilih dengan informasi, memberikan pemahaman tentang bagaimana pemilu berlangsung, dan memberikan kesadaraan tentang pemilu.
Ketika sedang berada pada masa sosialisasi, hal-hal yang boleh dipasang oleh partai politik hanyalah alat peraga sosialisasi. Salah satu jenis alat peraga sosialisasi adalah bendera partai, tetapi tanpa kandungan unsur visi-misi poiitik atau gambar calon.
“Lalu, apa yang diperbolehkan selama masa sosialisasi? Pertama-tama, bendera partai beserta nomor urut partai diperbolehkan, karena hal ini mencerminkan esensi dari tahapan sosialisasi ini,” kata komisioner Badan Pengawasan Pemilu (Bawaslu), Lolly Suhenty.

# APK Pemilu# APS Pemilu# Alat Peraga Kampanye# Pemilu 2024# Pilpres 2024"
Pemilu,TKN: Paslon Lain Mulai Mengapresiasi Gaya Politik Prabowo-Gibran,13 jam yang lalu,https://www.beritasatu.com/bersatu-kawal-pemilu/2784386/tkn-paslon-lain-mulai-mengapresiasi-gaya-politik-prabowo-gibran,"Jakarta, Beritasatu.com - Komandan Tim Komunikasi Tim Kampanye Nasional (TKN) Prabowo-Gibran, Budisatrio Djiwandono, mengungkapkan bahwa gaya politik dari pasangan calon presiden dan wakil presiden nomor urut 2 mulai mendapat apresiasi dari pasangan calon lain yang ikut serta dalam Pemilu Presiden dan Wakil Presiden (Pilpres) 2024.
""Alhamdulillah, gaya politik Pak Prabowo-Mas Gibran yang santai, riang, dan gembira, mulai diapresiasi paslon lain. Berarti, keinginan paslon nomor urut 2 agar Pemilu 2024 dilakukan dengan riang gembira berhasil menginspirasi paslon lain. Ini berita yang bagus untuk masyarakat,"" ujar Budi di Jakarta, dikutip dari Antara, Jumat (1/12/2023).
Awalnya, banyak pihak menuduh bahwa narasi ""gemoy"" diciptakan dengan sengaja untuk mengaburkan gagasan dan ide-ide dari calon presiden Prabowo Subianto. 
Namun, menurut Budi, saat ini narasi Prabowo yang menggemaskan atau yang dikenal sebagai ""gemoy"" mulai diakui sebagai bentuk apresiasi masyarakat terhadap ketua umum Partai Gerindra itu.
BACA JUGAPendukung Prabowo-Gibran Diminta Abaikan Narasi Fitnah
""Begitu narasi gemoy ini dipahami sebagai bentuk apresiasi masyarakat terhadap sikap Pak Prabowo yang berkontes secara riang gembira. Boleh saja dianggap sebagai sebuah gimik yang berasal dari bawah, tetapi secara substansi, hanya Prabowo-Gibran yang menawarkan gagasan riil untuk mencapai Indonesia Emas 2045 melalui program makan siang, susu gratis, serta gizi ibu hamil dan balita,"" terang Budi.
Budi menyampaikan pernyataannya ini sebagai tanggapan terhadap penilaian dari calon wakil presiden nomor urut 1, Muhaimin Iskandar, yang menyatakan bahwa lebih baik menampilkan gimik politik daripada mencari-cari kesalahan kompetitor lain di Pemilu 2024.
BACA JUGAPrabowo Teruskan Tugas Menhan, Gibran Hadiri Acara Kampanye di Penjaringan 
Budi mengapresiasi pernyataan Muhaimin dan melihatnya sebagai pertanda pasangan calon lain juga memahami keinginan politik yang riang gembira dari Prabowo.
""Kami bersyukur Gus Muhaimin juga ikut menyambut semangat Pemilu 2024 untuk dilakukan dengan hati senang, gembira, santun, dan tetap mengedepankan gagasan, ide, serta keunggulan masing-masing. Jadi, tidak perlu mencela atau mencari kesalahan paslon lain,"" tambahnya.
 

# Prabowo-Gibran# Capres-Cawapres Prabowo-Gibran# Kampanye Prabowo-Gibran# Pemilu 2024# Pilpres 2024"
Pemilu,"Jelang Libur Nataru, Maskapai Ajukan 375 Extra Flight ke AP II",13 jam yang lalu,https://www.beritasatu.com/ekonomi/2784385/jelang-libur-nataru-maskapai-ajukan-375-extra-flight-ke-ap-ii,"Tangerang, Beritasatu.com - Jelang musim libur Natal dan Tahun Baru (Nataru) 2024, PT Angkasa Pura II, selaku pengelola Bandara Soekarno-Hatta di Tangerang, sudah menerima pengajuan 375 extra flight atau penambahan jam penerbangan dari sejumlah maskapai.
Eksekutif General Manager Bandara Soekarno-Hatta, Dwi Ananda Wicaksana, mengatakan bahwa data sementara pihak airline yang sudah mengusulkan masuk extra flight di antaranya adalah AirAsia Indonesia, Lion Air, Citilink dan Malaysia Airlines.
""Secara total usulan mereka untuk extra flight domestik sejumlah 343 dan internasional 32 flight. Tentunya ini baru usulan dan nanti akan terus bertambah mendekati hari H. Realisasi tentunya bisa berbeda,"" ujar Dwi Ananda Wicaksana, Jumat (1/12/2023).
Dwi menyatakan berdasarkan rapat konsolidasi data dengan otoritas bandara dan kementerian perhubungan, pihaknya telah memprediksi arus puncak mudik atau perjalanan liburan akan terjadi pada H-3 sebelum Natal. 

ADVERTISEMENT










""Kami sudah melakukan perhitungan, hasilnya adalah bahwa arus puncak pertama akan terjadi di Jumat 22 Desember yaitu H-3 sebelum Natal. Kemudian untuk arus baliknya dapat diprediksi Jumat 29 Desember 2023 yaitu H+4 setelah natal,"" ungkapnya.
Lebih lanjut Dwi mengatakan pada momen libur Nataru, jumlah pergerakan penumpang di Bandara Soekarno-Hatta diprediksi tidak sebanyak seperti Idulfitri.
""Untuk penumpang memang prediksi kami tidak tinggi saat hari raya Lebaran yang lalu, kurang lebih akan terjadi total peningkatan sebesar 12,5% atau rata rata per hari 135.000 sampai dengan 170.000,"" tuturnya.
Pihak pengelola Bandara Soekarno-Hatta juga sudah mulai mempersiapkan berbagai sarana fasilitas penunjang momen libur Nataru, termasuk mengerahkan ribuan personel gabungan untuk pengamanan.
""Total personel kita yang kita alokasikan Avsec itu sekitar 700 lebih dan dapat dukungan dari Polresta Bandara Soekarno-Hatta sekitar 700, dan kita memiliki total bantuan dari TNI kurang lebih 60 sampai 70 personel dan baru saja kami menjalin kerja sama dengan Puspom TNI yang juga memberikan bantuan personel khusus di pengamanan Natal dan Tahun Baru dan menjelang pemilu,"" pungkas Dwi Ananda Wicaksana.

# Angkasa Pura II# AP II# Nataru# Extra Flight# Bandara Soekarno Hatta"
Pemilu,Pendukung Prabowo-Gibran Diminta Abaikan Narasi Fitnah,14 jam yang lalu,https://www.beritasatu.com/bersatu-kawal-pemilu/2784363/pendukung-prabowo-gibran-diminta-abaikan-narasi-fitnah,"Jakarta, Beritasatu.com - Sekretaris Jenderal Partai Gerindra, Ahmad Muzani, mengimbau para pendukung Prabowo-Gibran agar tidak terprovokasi oleh narasi fitnah yang mencoba menyudutkan pasangan tersebut.
""Dalam pesan dari Pak Prabowo, semua tuduhan, ejekan, atau hal apa pun, sebaiknya dijawab dengan senyuman,"" ujar Muzani saat diwawancarai di kawasan Menteng, Jakarta Pusat, dikutip dari Antara, Jumat (1/12/2023).
Meskipun Muzani tidak memerinci secara jelas narasi fitnah yang sedang beredar di tengah masyarakat yang ditujukan kepada pasangan Prabowo-Gibran, ia menegaskan bahwa merespons fitnah dengan fitnah hanya akan menciptakan situasi politik yang tidak sehat.
Muzani menekankan bahwa jika pemilu hanya menjadi ajang penyebaran fitnah, maka perpecahan di tengah masyarakat dapat terjadi dengan mudah. Dia memandang bahwa setelah Pemilu berakhir, seluruh masyarakat seharusnya bersatu kembali, mendukung pemerintah yang sah.
BACA JUGAPrabowo Teruskan Tugas Menhan, Gibran Hadiri Acara Kampanye di Penjaringan 
Jika Prabowo terpilih, Muzani memastikan bahwa Ketua Umum Partai Gerindra tersebut tidak hanya akan melindungi pendukungnya saja. 
""Pak Prabowo berjanji untuk menggunakan jabatannya ini sebagai bentuk perlindungan bagi seluruh bangsa Indonesia dan seluruh wilayah Indonesia,"" tandasnya.
KPU telah menetapkan masa kampanye pemilu telah ditetapkan oleh Komisi Pemilihan Umum (KPU) dan akan berlangsung mulai 28 November 2023 hingga 10 Februari 2024. 
BACA JUGAAhmad Muzani: Prabowo-Gibran Sudah Siap Debat Pilpres 2024
Setelah masa kampanye berakhir, pasangan capres-cawapres memasuki masa tenang pada 11-13 Februari 2024. Pada 14 Februari 2024 adalah hari H pemungutan suara serentak dan penghitungan suara.
Selanjutnya, 15 Februari 2024 hingga 20 Maret 2024, dilakukan rekapitulasi hasil perhitungan suara. Pasangan presiden dan wakil presiden terpilih melakukan pengucapan sumpah dan janji pada 20 Oktober 2024.
 

# Prabowo-Gibran# Capres-Cawapres Prabowo-Gibran# Kampanye Prabowo-Gibran# Pemilu 2024# Pilpres 2024"
Pemilu,BSSN Gunakan Forensik Digital dalam Kasus Kebocoran Data KPU,15 jam yang lalu,https://www.beritasatu.com/bersatu-kawal-pemilu/2784362/bssn-gunakan-forensik-digital-dalam-kasus-kebocoran-data-kpu,"Jakarta, Beritasatu.com - Badan Siber dan Sandi Negara (BSSN) mengonfirmasi bahwa mereka telah melakukan forensik digital sebagai langkah penanganan terkait dugaan kasus kebocoran data yang dialami oleh Komisi Pemilihan Umum (KPU). Tindakan tersebut dilakukan untuk mencari penyebab dari kebocoran data yang dihadapi oleh KPU.
""Dalam penanganan insiden siber di KPU, BSSN sedang melakukan analisis dan forensik digital dari sisi aplikasi dan server untuk mengetahui akar penyebab dari insiden siber tersebut,"" ujar Juru Bicara BSSN, Ariandi Putra, di Jakarta, dikutip dari Antara, Jumat (1/12/2023).
Terkait dengan tindak lanjut penanganan dugaan kebocoran data KPU, Ariandi menyatakan bahwa informasi lebih lanjut akan disampaikan oleh KPU sebagai pemilik sistem elektronik terkait.
BACA JUGA204 Juta Data Pemilih di KPU Bocor, Muzani: Harus Dicari Siapa yang Bertanggung Jawab
""Hasil investigasi dan perkembangan tindak lanjut dari dugaan insiden kebocoran data akan disampaikan langsung oleh KPU selaku penyelenggara sistem elektronik,"" tambah Ariandi.
Sebelumnya, Selasa (28/11/2023), KPU telah menyatakan bahwa mereka terus berkoordinasi dengan Satuan Tugas Siber Pemilu untuk memastikan keamanan data pemilih pada Pemilu 2024. KPU juga telah menerima informasi terkait dugaan pembobolan data pemilih oleh seorang peretas dengan nama “Jimbo.”
BACA JUGADugaan Kebocoran Data Pemilih, Anggota Komisi I DPR Sebut Sistem di KPU Masih Aman
Menanggapi hal tersebut, Kementerian Komunikasi dan Informatika (Kemenkominfo), sebagai pengampu Undang-Undang Pelindungan Data Pribadi telah meminta klarifikasi kepada KPU sebagai penyelenggara sistem elektronik (PSE) terkait dugaan kebocoran data daftar pemilih tetap (DPT). 
Langkah klarifikasi ini sesuai dengan amanat Undang-Undang Nomor 27 Tahun 2022 tentang Pelindungan Data Pribadi.
 

# Kebocoran Data KPU# Data KPU Bocor# Data KPU Diretas# Badan Siber dan Sandi Negara# BSSN"
Pemilu,Kasad Maruli Akui Menerima Arahan dari Agus Subiyanto Saat Sertijab,16 jam yang lalu,https://www.beritasatu.com/nasional/2784354/kasad-maruli-akui-menerima-arahan-dari-agus-subiyanto-saat-sertijab,"Jakarta, Beritasatu.com - Jenderal TNI Maruli Simanjuntak resmi menerima dan melakoni jabatan sebagai Kepala Staf TNI Angkatan Darat (Kasad) dari pendahulunya Jenderal TNI Agus Subiyanto. Prosesi serah terima jabatan berlangsung di Markas Besar TNI Angkatan Darat kawasan Gambir, Jakarta Pusat pada Jumat (1/12/2023).
Maruli menyebut telah menerima sejumlah arahan dari pendahulunya itu, yang saat ini telah dilantik sebagai panglima TNI. Dia mengakui ada beberapa program yang telah diserahkan kepadanya untuk dilaksanakan dalam memimpin matra angkatan darat.
“Sebagaimana diketahui rekan media (meski menjabat) sebagai kasad satu bulan, tetapi wakasad hampir dua tahun jadi sangatlah mengetahui seluk beluk di angkatan darat ini. Saya sudah beberapa hari mendapatkan arahan dari beliau,” ujar Maruli saat menemui awak media seusai acara, Jumat (1/12/2023).
Figur mantan panglima Komando Cadangan Strategis Angkatan Darat (Pangkostrad) itu berharap dapat menjalankan tugas barunya dengan baik. Dirinya mengaku ingin setidaknya menyamai prestasi serta hasil kinerja para pendahulunya termasuk Agus. 

ADVERTISEMENT










BACA JUGATerungkap Pesan Luhut kepada sang Menantu Maruli Simanjuntak yang Dilantik Jokowi Jadi Kasad
Beberapa detail arahan yang disampaikan oleh Agus, disebut Maruli berkaitan dengan pelaksanaan tugas dan fungsi TNI Angkatan Darat, terutama pada pelaksanaan tugas terkait pasukan dan fungsi pelayanan pada masyarakat.
BACA JUGAKasad Maruli: Saya Akan Pastikan TNI AD Netral di Pemilu 2024
“Kita banyak evaluasi terkait penugasan dan penyiapan pasukan serta terkait juga dengan cara-cara kita membantu masyarakat. Intinya memang membantu masyarakat, bagaimana kita menyiapkan tugas pokok kita lebih baik lagi,” ucap Maruli.
Presiden Jokowi sebelumnya melantik Jenderal Maruli Simanjuntak sebagai Kasad di Istana Negara, Rabu (29/11/2023). 

# Kasad Maruli Simanjuntak# Kasad Baru# Maruli Simanjuntak# Panglima TNI Agus Subiyanto# Agus Subiyanto"
Pemilu,KPU Pastikan Keikutsertaan Seluruh Paslon dalam Semua Debat Pilpres 2024,17 jam yang lalu,https://www.beritasatu.com/bersatu-kawal-pemilu/2784318/kpu-pastikan-keikutsertaan-seluruh-paslon-dalam-semua-debat-pilpres-2024,"Jakarta, Beritasatu.com - Ketua Komisi Pemilihan Umum (KPU) Hasyim Asy'ari memastikan kehadiran semua pasangan calon presiden dan wakil presiden yang ikut dalam Pemilu Presiden dan Wakil Presiden (Pilpres) 2024 pada setiap sesi debat. 
Hasyim menyatakan bahwa kehadiran bersama calon presiden dan wakil presiden dalam debat adalah untuk menunjukkan kesatuan dan kekompakan di antara mereka kepada publik.
“Publik makin yakin dengan penampilan mereka pada saat debat,"" kata Hasyim setelah Rapat Koordinasi Persiapan Debat Pasangan Capres-Cawapres Tahun 2024 di kantor KPU, Jakarta, dikutip dari Antara, Jumat (1/12/2023).
Dalam pelaksanaannya, proporsi waktu bicara akan disesuaikan, seperti pada debat calon presiden yang akan memiliki proporsi bicara lebih banyak dibandingkan dengan debat calon wakil presiden. Ini merupakan perubahan dari format Pilpres 2019, saat itu tidak semua paslon hadir langsung di lokasi debat.
BACA JUGA204 Juta Data Pemilih di KPU Bocor, Muzani: Harus Dicari Siapa yang Bertanggung Jawab
Debat Pilpres 2024 akan dilaksanakan tiga kali untuk calon presiden dan dua kali untuk calon wakil presiden, sesuai dengan Peraturan KPU Nomor 15 tahun 2023 Pasal 50 Ayat (1). Setiap sesi debat capres-cawapres akan terdiri dari enam segmen, melibatkan pembukaan, pembacaan tata tertib, penyampaian visi-misi dan program kerja, serta segmen penutup.
KPU telah menetapkan tema khusus untuk setiap sesi debat. Debat pertama pada 12 Desember akan membahas hukum, hak asasi manusia (HAM), pemerintahan, pemberantasan korupsi, dan penguatan demokrasi. 
Debat kedua pada 22 Desember akan fokus pada pertahanan, keamanan, geopolitik, dan hubungan internasional. Sementara tema debat ketiga pada 7 Januari 2024 mencakup ekonomi (kerakyatan dan digital), kesejahteraan sosial, investasi, perdagangan, pajak (digital), keuangan, dan pengelolaan APBN.
BACA JUGADugaan Kebocoran Data Pemilih, Anggota Komisi I DPR Sebut Sistem di KPU Masih Aman
Debat keempat pada 21 Januari 2024 akan membahas energi, sumber daya alam (SDA), SMN, pajak karbon, lingkungan hidup dan agraria, serta masyarakat adat. Debat terakhir pada 4 Februari 2024 akan difokuskan pada teknologi informasi, peningkatan pelayanan publik, hoaks, intoleransi, pendidikan, kesehatan (post-Covid Society), dan ketenagakerjaan. 
Tema-tema tersebut merujuk pada visi nasional dalam Pembukaan UUD 1945 dan Rencana Pembangunan Jangka Panjang Nasional (RPJPN).
 

# Capres-cawapres# Capres-cawapres Pilpres 2024# Debat Pilpres 2024# Pemilu 2024# Pilpres 2024"
