Tanggal,Penulis,Judul,Artikel,Label
" Senin, 27 November 2023 15:47 WIB",Pewarta: Fath Putra MulyaEditor: Fransiska Ninditya  COPYRIGHT © ANTARA 2023,"Anies: Integritas pemilu bukan dilihat dari pakta, tapi fakta","     Jakarta (ANTARA) - Calon presiden nomor urut 1Anies Baswedan mengatakan integritas pemilihan umum (pemilu) bukan dilihat dari pakta yang ditandatangani, melainkan dari peristiwa yang terjadi di lapangan.   ""Integritas pemilu kita bukan dilihat dari pakta yang kami tandatangani, tapi peristiwa di lapangan yang sesuai dengan pakta yang kami tandatangani,"" kata Anies dalam sambutannya pada Rapat Koordinasi Nasional (Rakornas) Sentra Penegakan Hukum Terpadu (Gakkumdu) yang digelar Badan Pengawas Pemilu (Bawaslu) RI di Jakarta, Senin.   Anies menuturkan bahwa konsistensi dari pakta yang ditandatangani para peserta Pilpres 2024 dan penerapannya di lapangan adalah hal yang paling penting. Pasalnya, menurutAnies, masyarakat merasakan ada potensi kecurangan pada pemilu tahun depan.   ""Kita buktikan kepada semua, apa yang berkembang di masyarakat dijawab dengan netralitas, dijawab dengan konsistensi. Apa yang ditandatangani, apa yang dikatakan undang-undang, dilaksanakan sepenuhnya di lapangan,"" imbuh Anies.  Baca juga: Kapten Timnas AMIN: Negara ini belum punya satu kemakmuran untuk semua   Selain itu, Anies mengatakan dia bersama pasangannya, yakni calon wakil presidenMuhaimin Iskandar, berkomitmen dalam menjaga netralitas, kejujuran, dan integritas Pemilu 2024.   Menurut dia, dengan menjaga tiga poin itu, maka Pemilu 2024 dapat terselenggara dengan baik.   ""Harapan ini yang ingin kami sampaikan, sekaligus juga komitmen yang kami berikan. Semoga kita semua memegang sumpah ini dengan sebaik-baiknya,"" ucap Anies.   Aniesmenambahkan bahwa tujuan dari penyelenggaraan pemilu berintegritas adalah untuk menghadirkan pemerintahan yang berwibawa, penuh legitimasi, dan dihormati baik di dalam maupun luar negeri.   ""Jadi, tujuan utama dari proses ini semua bukan tentang yang siapa menang, tetapi tentunya dihormati semua; dan pemerintah yang nanti terbentuk adalah pemerintah yang disadari oleh semua bukan hasil karena proses yang ada curang, justru dengan hasil kejujuran,"" jelasnya.  Baca juga: Tiga paslon tiba di acara Deklarasi Kampanye Pemilu Damai 2024   Dalam acara tersebut, pasangan calonAnies-Muhaiminbersama dua pasangan calon lain dan partai politik peserta Pemilu 2024 menandatangani ""Deklarasi Kampanye Damai, Tertib, dan Taat Hukum Peserta Pemilu Tahun 2024"".   Dalam kesempatan itu, Kapolri Jenderal Pol.Listyo Sigit Prabowo dan Panglima TNI Jenderal TNI Agus Subiyanto juga meneken ""Deklarasi Komitmen Netralitas TNI-Polri dalam Penyelenggaraan Tahun 2024"".   Pilpres 2024 diikuti oleh tiga pasangan calon presiden dan wakil presiden, yakni Anies Baswedan-Muhaimin Iskandar, Ganjar Pranowo-Mahfud MD, serta Prabowo Subianto-Gibran Rakabuming Raka.   Sementara itu, masa kampanye ditetapkan mulai tanggal 28 November 2023 hingga 10 Februari 2024, sementara pemungutan suara dijadwalkan pada tanggal 14 Februari 2024.  Baca juga: Tim Hukum Nasional AMIN resmi dideklarasikan dan siap kawal pilpresPewarta: Fath Putra MulyaEditor: Fransiska Ninditya    COPYRIGHT © ANTARA 2023 ",politik
" Senin, 27 November 2023 15:37 WIB",,Empat prajurit Kostrad gugur di Papua,,politik
" Senin, 27 November 2023 15:26 WIB",Pewarta: Melalusa Susthira KhalidaEditor: Hisar Sitanggang  COPYRIGHT © ANTARA 2023,Menlu bertolak ke New York hadiri High Level Debate PBB bahas Gaza,"     Jakarta (ANTARA) - Menteri Luar Negeri RI Retno Marsudi mengatakan akan bertolak ke New York, Amerika Serikat pada Senin sore untuk menghadiri High Level Debate di Dewan Keamanan Perserikatan Bangsa-Bangsa (PBB) untuk membahas isu terkini terkait situasi di Gaza, Palestina.   Dia menyebut acara High Level Debate Dewan Keamanan PBB sendiri akan dilangsungkan pada Rabu (29/11).   ""Kami sendiri sore nanti akan terbang ke New York untuk menghadiri High Level Debate di Dewan Keamanan PBB,"" kata Retno dalam Rapat Kerja (Raker) bersama Komisi I DPR RI di Kompleks Parlemen, Senayan, Jakarta.   Selain Indonesia, Retno menyebut sejumlah menteri luar negeri negara Organisasi Kerja Sama Islam (OKI) lainnya juga akan hadir dalam pertemuan tersebut.   ""Para menteri luar negeri OKI yang memperoleh mandat dari OKI akan hadir dalam pertemuan,"" ujarnya.   Dia mengatakan para menteri luar negeri OKI berpandangan diperlukan sebuah resolusi Dewan Keamanan PBB yang lebih komprehensif dan lebih kuat.   ""Terutama untuk terciptanya sebuah ceasefire (gencatan senjata) yang permanen dan pemberian bantuan yang lancar,"" katanya.   Sebab, kata dia, resolusi Dewan Keamanan PBB Nomor 2712 yang dikeluarkan pada 15 November 2023 berisi seruan jeda kemanusiaan belum cukup untuk meredam situasi konflik di Gaza saat ini, meski merupakan sebuah awal yang baik.   Dia juga menyebut tekanan internasional harus terus diberikan agar deeskalasi konflik di Gaza dapat segera tercapai.   ""Dewan Keamanan PBB memiliki tanggung jawab moral untuk menjaga keamanan dan perdamaian dan untuk memperjuangkan keadilan dan kemanusiaan,"" ucapnya.   Retno pun menegaskan komitmen Indonesia dalam mendukung perjuangan kemerdekaan Palestina hingga saat ini, sebagaimana amanat konstitusi bahwa penjajahan di atas dunia harus dihapuskan.   Dia mengatakan Indonesia akan menggunakan momentum yang ada untuk mencegah jatuhnya lebih banyak korban jiwa dalam konflik di Gaza.   ""Dan menggunakan momentum ini sebagai push factor untuk mendorong peace process guna mewujudkan two state solution, serta perdamaian yang langgeng di Palestina sesuai parameter internasional yang telah disepakati,"" katanya.   Selain itu, ujarnya lagi, Indonesia perlu terus mengawal terwujudnya keadilan dan akuntabilitas, termasuk pertanggungjawaban Israel atas pelanggaran hukum internasional yang dilakukannya.   ""Serta reparasi yang setimpal dan dukungan internasional untuk membantu Palestina pulih dan membangun kembali infrastrukturnya,"" ucap Retno.Pewarta: Melalusa Susthira KhalidaEditor: Hisar Sitanggang    COPYRIGHT © ANTARA 2023 ",politik
" Senin, 27 November 2023 15:24 WIB",Pewarta: Walda MarisonEditor: Fransiska Ninditya  COPYRIGHT © ANTARA 2023,Komnas HAM: Relawan harus aktif pantau proses Pemilu 2024,"     Jakarta (ANTARA) - Anggota Komisi Nasional Hak Asasi Manusia (Komnas HAM)Pramono Ubaid Tanthowimemintaseluruh masyarakat pemilih serta para relawan pasangan calon presiden dan wakil presiden harus secara aktif memantau proses Pemilu 2024.   ""Masyarakat dan relawan harus aktif dalam memantau proses pemilu, dari mulai kampanye hingga penghitungan suara,""kata Pramono saat menghadiri Rapat Koordinsi Nasional(Rakornas) Relawan Ganjar-Mahfud se-Jawa di JIExpoKemayoran, Jakarta Pusat, Jakarta,Senin.   Mantan anggota Komisi Pemilihan Umum (KPU) Ri itu menjelaskan pengawasan yang bisa dilakukan pada tahap pertama adalah memastikan masyarakat pemilih telah terdaftar dalam daftar pemilih tetap (DPT).   ""Aktif memobilisasi warga untuk mengecek DPT dan lapor jika ada yang ingin pindah DPT atau kalau mau pindah memilih ke KPU atau Bawaslu(Badan Pengawas Pemilu),"" kata Pramono.  Baca juga: Bawaslu Sleman gelar Deklarasi Pemilu 2024 Damai   Hal tersebut, lanjutnya, dilakukan untukmemastikan bahwa seluruh masyarakat mendapatkan hakmemilih dalam Pemilu Serentak 2024.   Selanjutnya, dia mengatakan seluruh relawan juga harus memastikan masyarakat pemilih yang terdaftar dalamDPT mau datang ke tempat pemungutan suara (TPS) pada haripencoblosan, yakni tanggal 14 Februari 2024.   Tidak sampai di situ, lanjut Pramono, seluruh relawan juga harus berperan aktif dalam memantau proses penghitungan suara. Hal itu sangat krusial karenaberpengaruh secara langsung dalam perolehan suara.   Terakhir, dia mengingatkan seluruh relawan paslon untuk tidak menggulirkan isu berkaitan suku, agama, ras, dan antargolongan (SARA) serta diseminasi berita palsu atau hoaks karenaberpotensi memecah belah persatuan bangsa.   ""Hindari pengguna hoaks, fitnah, dan isu SARAyang bisa berdampak perpecahan panjang,"" ujar Pramono.   KPU telah menetapkan masa kampanye berlangsung mulai Selasa (28/11) hingga tanggal 10 Februari 2024 mendatang. Pemungutan suara Pemilu Serentak 2024 pun telah ditetapkan pada tanggal 14 Februari 2024.   Pilpres 2024 diikuti oleh tiga pasangan calon presiden dan wakil presiden, yakni Anies Baswedan-Muhaimin Iskandar, Ganjar Pranowo-Mahfud MD, serta Prabowo Subianto-Gibran Rakabuming Raka.  Baca juga: Polda Metro kerahkan 610 jaga Deklarasi Kampanye Damai Pemilu 2024   Pasangan nomor urut 1, Anies-Muhaimin,diusung oleh Partai NasDem, Partai Kebangkitan Bangsa (PKB), Partai Keadilan Sejahtera (PKS), dan Partai Ummat.   Pasangan nomor urut 2,Prabowo-Gibran,diusung oleh Partai Gerindra, Partai Golkar, Partai Amanat Nasional (PAN), Partai Demokrat, Partai Bulan Bintang (PBB), Partai Gelora, Partai Garuda, Partai Solidaritas Indonesia (PSI), serta Partai Rakyat Adil Makmur (Prima) yang tidak lolos menjadi peserta Pemilu 2024.   Sedangkan pasangan nomor urut 3, Ganjar-Mahfud, diusung oleh PDI Perjuangan, Partai Persatuan Pembangunan (PPP), PartaiPerindo, dan Partai Hanura.  Baca juga: Tiga paslon tiba di acara Deklarasi Kampanye Pemilu Damai 2024Pewarta: Walda MarisonEditor: Fransiska Ninditya    COPYRIGHT © ANTARA 2023 ",politik
" Senin, 27 November 2023 15:17 WIB",,"Lantik 2 kepala daerah, Pj Gubernur Sultra pesan tingkatkan pelayanan","                     ANTARA - Pj Gubernur Sulawesi Tenggara Andap Budhi Revianto melantik Abdul Aziz sebagai Bupati Kolaka Timur dan Edy Suharmanto sebagai Pj Bupati Bombana di Kantor Gubernur Sulawesi Tengah, Senin (27/11). Kepada keduanya, ia berpesan agar dalam menjalankan roda pemerintahan di daerahnya masing-masing, harus meningkatkan pelayanan terhadap masyarakat, serta mampu menyelaraskan program-program pemerintah pusat demi kesejahteraan masyarakat.  (Saharudin/Yovita Amalia/Ludmila Yusufin Diah Nastiti)        ",politik
" Senin, 27 November 2023 15:14 WIB",Pewarta: Narda Margaretha SinambelaEditor: Fransiska Ninditya  COPYRIGHT © ANTARA 2023,Ganjar-Mahfud serukan revolusi mental sebagai fondasi pembangunan RI,"     Jakarta (ANTARA) - Ketua DPP PDI PerjuanganSaid Abdullah mengatakan pasangan calon presiden dan wakil presiden, Ganjar Pranowo-MahfudMD ingin mengembalikan gagasan revolusi mental yang 10 tahun lalu diserukansebagai fondasi pembangunan Indonesia.   ""Kini, kami pakai sebagai modal kami menuju Indonesia Emas 2045. Kami pakai fondasi 'Menuju Indonesia Unggul',"" kata Said dalam keterangannya di Jakarta, Senin.   Hal itu dapat dilihat dalam visi dan misi Ganjar-Mahfud, di mana sebagian besar urusannya membangun manusia Indonesia agar menjadi manusia unggul. Menurut Said, menjadi manusia unggul adalah pesan utama dalam pembangunan.   Dia menegaskan jati diri kepribadian bangsa perlu dinyatakan secara lugas.  Baca juga: Tiga paslon tiba di acara Deklarasi Kampanye Pemilu Damai 2024   Sebab, menurut dia, semua nilai-nilai luhur bangsa harus dihadirkan secara nyata dalam kehidupan sehari-hari, seperti gotong royong, antikorupsi, produktif, inovatif, mandiri, patuh pada etika dan hukum, menghargai perbedaan dan kebebasan, emansipasi perempuan, serta melindungi minoritas.   Semua nilai itu, lanjut Said, harus menjadi roh bagi setiap gerak pembangunan Indonesia di semua bidang tanpa disimpan. Dia juga menilai kondisi tersebut merupakan jalan kebudayaan menuju manusia unggul.   ""Paling mula harus menjadi praktik hidup dan contoh nyata bagi seluruh para penyelenggara negara. Kami yakin jika seluruh penyelenggara negara bisa melaksanakan nilai-nilai tersebut pada gerak hidupnya sehari-hari, maka hal itu akan memantul lebih luas menjadi jiwa bangsa,"" jelasnya.   Dengan penghayatan total atas nilai-nilai luhur itu, maka seluruh potensi pembangunan nasional akan lebih mudah diorganisasi untuk menopang cita-cita pembangunan.  Baca juga: Ganjar berkampanye mulai dari Papua dan Mahfud dari Aceh   Oleh karena itu, keteladanan pemimpin nasional yang menyebar ke seluruh level penyelenggara negara akan menjadi energi penggerak penting bagi pembangunan.   Saidmenambahkan kekuatan gotong royong dengan penghayatan atas jiwa bangsa akan mampu menopang upaya untuk menaikkan pendapatan per kapita, menurunkan tingkat kemiskinan, membuka lapangan kerja, meningkatkan partisipasi pendidikan, meningkatkan harapan hidup rakyat, penguasaan ilmu pengetahuan dan teknologi yang tinggi, talenta anak anak bangsa yang hebat, menempuh jalan ekonomi hijau, serta menjadikan poros maritim dunia.   Gerakan pembangunan bukan semata-mata agenda dan urusan Pemerintah, melainkan rakyat akan merasa memiliki cita-cita itu.   Nalar itulah, menurut Said, yang luput pada pembangunan Indonesia selama ini, karena semua agenda pembangunan dipahami dan hanya diformulasikan secara teknokrasi.   ""Teknokrasi sangat penting karena memandu kalkulasi dan mitigasi. Namun, sama pentingnya adalah rasa kepemilikan rakyat atas agenda pembangunan,"" ujarSaid.  Baca juga: Basarah sebut relawan se-Jawa siap menangkan Ganjar-MahfudPewarta: Narda Margaretha SinambelaEditor: Fransiska Ninditya    COPYRIGHT © ANTARA 2023 ",politik
" Senin, 27 November 2023 15:07 WIB",Pewarta: M. Imam PramanaEditor: Edy M Yakub  COPYRIGHT © ANTARA 2023,Pemkab Musi Banyuasin-Sumsel wakili Asia Tenggara di UCLG ASPAC,"     Palembang (ANTARA) - Pemerintah Kabupaten (Pemkab) Musi Banyuasin (Muba), Sumatra Selatan telah mewakili Asia Tenggara masuk Biro Eksekutif pada Majelis Umum dalam pertemuan akbar pimpinan pemerintah daerah dan asosiasi pemerintah daerah kawasan Asia Pasifik atauUnited Cities and Local Governments Asia Pacific (UCLG ASPAC).   ""Pada pertemuan di Yiwu, Tiongkok (14/11/2023) itu,Pemkab Mubamasuk dalam Biro Eksekutif dari Majelis Umum UCLGASPACdan hadiratas undangan dari Sekretaris Jenderal UCLG ASPAC,"" kataAsisten II Bidang Perekonomian dan Pembangunan Pemkab Muba, Andi Wijaya Busro, di Palembang, Senin.   Iamengatakan kehadiran delegasi Pemkab Mubasejak bergabung UCLGASPAC pada tahun 2021, dinilai aktif dalam kegiatan keanggotaan tersebut sampai saat ini. ""Ini merupakan kesempatan emas bagi Muba guna menyampaikan gagasan Musi Banyuasin GreenGlobal Regency yang bertujuan mewujudkan Kabupaten Muba menjadi pusat pertumbuhan ekonomi hijau dunia,"" katanya.      Menurut dia, Kabupaten Muba memiliki kawasan hutan gambut dan daerah aliran sungai (DAS) yang belum dikelola dengan maksimal.      ""Pengolahan hasil hutan itu bukan untuk kayu, namunpengolahan lahan hutan dan gambut itu untuk pencadangan karbon dan revitalisasi DAS yang akan menjadi prioritas usulan Pemkab Muba dalam program UCLG ASPAC ke depan,"" katanya.   Kehadiran PemkabMuba pada pertemuan tersebut telah membuka peluang kerja sama daerah dengan pemerintah daerah dan asosiasi pemerintah daerah sesama anggota UCLG ASPAC, termasuk dengan lembaga-lembaga donor mitra asosiasi tingkat Aspacitu.      Ia berharap langkah ini dapat membantu dalam percepatan peningkatan kesejahteraan masyarakat dan menurunkan angka kemiskinan di Musi Banyuasin      Pertemuan diYiwu, Tiongkok itudihadiri Sekjen PBB ke-8 Ban Ki Moon, Menteri Sosial RI Tri Rismaharani, Wakil Presiden Asosiasi Rakyat Tiongkok untuk Persahabatan dengan Negara Asing Yan Dong, Wali Kota Yiwu Ye Bangrui dan 500-an peserta.   Dalam pertemuan itudiputuskanKabupaten Minahasa Utara akan menjadi tuan rumah pelaksanaan UCLG ASPAC2024. Indonesia terakhir kali menjadi tuan rumah UCLG ASPACpadatahun 2015 di Kabupaten Wakatobi, Sulawesi Tenggara.Pewarta: M. Imam PramanaEditor: Edy M Yakub    COPYRIGHT © ANTARA 2023 ",politik
" Senin, 27 November 2023 14:57 WIB",Pewarta: Aprillio Abdullah AkbarEditor: Fransiska Ninditya  COPYRIGHT © ANTARA 2023,Tiga paslon tiba di acara Deklarasi Kampanye Pemilu Damai 2024,"     Jakarta (ANTARA) - Tiga pasangan calon presiden dan wakil presiden peserta Pilpres 2024 tiba di Gedung Komisi Pemilihan Umum (KPU) RI, Jakarta, Senin, untuk menghadiri acara Deklarasi Kampanye Pemilu Damai Tahun 2024.   Berdasarkan pantauan ANTARA di lokasi, calon wakil presiden (cawapres) nomor urut 3,MahfudMD, tiba di Gedung KPU RI pukul 14.01 WIB, kemudian disusul pasangannya, calon presiden (capres) Ganjar Pranowoyang sampai di lokasi pukul 14.18 WIB.   Ganjar hadir dengan mengenakan kemeja berwarna hitam, sementaraMahfudmenggunakan kemeja berwarna putih.  Baca juga: Bawaslu Sleman gelar Deklarasi Pemilu 2024 Damai   Kemudian, pasangan calon nomor urut 1,Anies Baswedan-Muhaimin Iskandar tiba di lokasi acara pukul 14.20 WIB. Keduanya, tampak kompak mengenakan setelan jas berwarna hitam.   Terakhir, yang kompak mengenakan kemeja berwarna biru langit, pasangan calon nomor urut 2,Prabowo Subianto-Gibran Rakabuming Raka, tiba di Gedung KPU RI pukul 14.45 WIB.  Baca juga: Polda Metro kerahkan 610 jaga Deklarasi Kampanye Damai Pemilu 2024   Selain ketiga paslon, hadir pula Kapolri Jenderal Pol.Listyo Sigit Prabowo, Panglima TNI Jenderal TNI Agus Subiyanto, Jaksa Agung SanitiarBurhanuddin,serta para pimpinan partai politik peserta Pemilu 2024.   KPU telah menetapkan masa kampanye pemilu yang berlangsung mulai Selasa (28/11) hingga tanggal 10 Februari 2024 mendatang. Pemungutan suara Pemilu Serentak 2024 pun telah ditetapkan pada tanggal 14 Februari 2024.   Pilpres 2024 diikuti oleh tiga pasangan calon presiden dan wakil presiden, yakni Anies Baswedan-Muhaimin Iskandar, Ganjar Pranowo-Mahfud MD, serta Prabowo Subianto-Gibran Rakabuming Raka.  Baca juga: Tiga paslon teken deklarasi kampanye damai, tertib, dan taat hukum   Pasangan Anies-Muhaimin diusung oleh Partai NasDem, Partai Kebangkitan Bangsa (PKB), Partai Keadilan Sejahtera (PKS), dan Partai Ummat.   Pasangan Ganjar-Mahfud diusung oleh PDI Perjuangan, Partai Persatuan Pembangunan (PPP), PartaiPerindo, dan Partai Hanura.   Sedangkan pasangan Prabowo-Gibran diusung oleh Partai Gerindra, Partai Golkar, Partai Amanat Nasional (PAN), Partai Demokrat, Partai Bulan Bintang (PBB), Partai Gelora, Partai Garuda, Partai Solidaritas Indonesia (PSI), serta Partai Rakyat Adil Makmur (Prima) yang tidak lolos menjadi peserta Pemilu 2024.  Baca juga: Parpol teken deklarasi kampanye damai, tertib, dan taat hukumPewarta: Aprillio Abdullah AkbarEditor: Fransiska Ninditya    COPYRIGHT © ANTARA 2023 ",politik
" Senin, 27 November 2023 14:57 WIB",,Pelantikan Gubernur Riau di Istana Negara,,politik
" Senin, 27 November 2023 14:53 WIB",Pewarta: Sean MuhamadEditor: Budhi Santoso  COPYRIGHT © ANTARA 2023,"PBNU: Bawa Palestina dalam kampanye boleh, asal bukan ajakan"," jangan diajak ribut, jangan diajak bertengkarJakarta (ANTARA) - Ketua Umum Pengurus Besar Nahdlatul Ulama (PBNU) Yahya Cholil Staquf mengatakan kampanye denganmembawa isu soal Palestina boleh dilalukan, asal tidak disertai ajakan untuk mengamuk dan membuat kerusuhan.   ""Ya, asal gak ngajak ngamuk saja,"" katanya perihal membawa isu soal Palestina dalam kampanye, saat ditemui di Jakarta, Senin.      Gus Yahya, sapaan akrabnya menyebutkan jika ada golongan yang ingin membicarakan isu soal Palestina dalam kampanye, maka golongan itu juga harus membicarakan tentang gagasan dan strategi yang masuk akal terkait hal tersebut.      ""Jangan sekadar ngajak orang ngamuk-ngamuk. Kita gak diajak sudah ngamuk, sekarang jalan keluarnya apa,"" ujarnya.  Baca juga: Kemenkopolhukam ingatkan masyarakat soal hoaks di kampanye Pemilu 2024  Baca juga: Haedar Nashir ingatkan Ganjar-Mahfud tak tebar janji kampanye   Lebih lanjut, Gus Yahya juga mengimbau agar kampanye dilakukan dengan damai dan tidak provokatif.      ""Ya kan ini masyarakat sudah tenang, ya santai gitu ya. Jangan diajak yang enggak-enggak. Jangan diajak ribut, jangan diajak bertengkar, (atau) berkelahi,"" tambahnya.  Diketahui, Komisi Pemilihan Umum (KPU) telah menetapkan masa kampanye pemilu yang akan berlangsung mulai 28 November 2023 hingga 10 Februari 2024, sementara pemungutan suara dijadwalkan akan dilaksanakan pada tanggal 14 Februari 2024.      Pada hari ini, Tiga pasangan calon presiden dan wakil presiden beserta perwakilan partai politik peserta Pemilihan Umum (Pemilu) 2024 resmi menandatangani Deklarasi Kampanye Damai, Tertib, dan Taat Hukum Peserta Pemilu Tahun 2024.  Pilpres 2024 diikuti tiga pasangan calon presiden-wakil presiden, yakni Anies Baswedan-Muhaimin Iskandar, Ganjar Pranowo-Mahfud MD, serta Prabowo Subianto-Gibran Rakabuming Raka.  Baca juga: TPN Ganjar-Mahfud bertekad jalani kampanye positif  Baca juga: TKN Prabowo-Gibran hormati PP terkait pejabat kampanye Pilpres 2024  Baca juga: Wapres: Kampanye peserta pemilu jangan picu keterbelahan masyarakatPewarta: Sean MuhamadEditor: Budhi Santoso    COPYRIGHT © ANTARA 2023 ",politik
